,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 19:55:00,328.8900,328.9800,328.6400,328.9100,1011,MSFT
2023-09-19 19:50:00,328.8600,328.8900,328.6600,328.8800,479,MSFT
2023-09-19 19:45:00,328.8500,328.8500,328.8400,328.8500,235,MSFT
2023-09-19 19:40:00,328.7500,328.8500,328.7200,328.8500,704,MSFT
2023-09-19 19:35:00,328.8000,328.8500,328.7400,328.7900,85,MSFT
2023-09-19 19:30:00,328.6500,328.8500,328.6500,328.8500,136,MSFT
2023-09-19 19:25:00,328.7000,328.8000,328.6500,328.7500,55,MSFT
2023-09-19 19:20:00,328.7600,328.8800,328.7000,328.8500,149,MSFT
2023-09-19 19:15:00,328.7700,328.8800,328.7700,328.7900,422,MSFT
2023-09-19 19:10:00,328.7000,328.8300,328.7000,328.8300,224,MSFT
2023-09-19 19:05:00,328.7900,328.8300,328.6500,328.8300,354,MSFT
2023-09-19 19:00:00,328.8800,328.9000,328.7000,328.7300,172,MSFT
2023-09-19 18:55:00,328.7900,328.9000,328.7700,328.8800,660,MSFT
2023-09-19 18:50:00,328.8000,328.9000,328.7900,328.8500,198,MSFT
2023-09-19 18:45:00,328.8700,328.9000,328.7900,328.7900,31,MSFT
2023-09-19 18:40:00,328.9000,328.9000,328.7900,328.7900,1195,MSFT
2023-09-19 18:35:00,328.9000,328.9900,328.9000,328.9000,356,MSFT
2023-09-19 18:30:00,328.8500,328.9900,328.7900,328.9000,1572,MSFT
2023-09-19 18:25:00,328.8400,328.8500,328.7900,328.7900,63,MSFT
2023-09-19 18:20:00,328.8500,328.8500,328.7900,328.8200,219,MSFT
2023-09-19 18:15:00,328.8500,328.8500,328.7900,328.8300,236,MSFT
2023-09-19 18:10:00,328.8500,328.8500,328.8500,328.8500,64,MSFT
2023-09-19 18:05:00,328.7500,328.8700,328.7500,328.8700,136,MSFT
2023-09-19 18:00:00,328.7900,328.8900,328.6900,328.7500,63,MSFT
2023-09-19 17:55:00,328.7500,328.7900,328.7000,328.7900,71,MSFT
2023-09-19 17:50:00,328.8400,328.8900,328.6000,328.7600,544,MSFT
2023-09-19 17:45:00,328.7000,328.8700,328.6000,328.6000,70,MSFT
2023-09-19 17:40:00,328.8900,328.8900,328.6000,328.7000,226,MSFT
2023-09-19 17:35:00,328.8000,328.8900,328.6000,328.8700,77,MSFT
2023-09-19 17:30:00,328.9270,328.9400,328.6000,328.8600,126,MSFT
2023-09-19 17:25:00,328.8400,328.9700,328.6000,328.9700,67,MSFT
2023-09-19 17:20:00,328.9360,328.9800,306.9750,322.8010,2944,MSFT
2023-09-19 17:15:00,328.8300,333.5150,315.5460,321.5360,1073,MSFT
2023-09-19 17:10:00,328.6700,328.9900,322.8010,328.9900,2204,MSFT
2023-09-19 17:05:00,328.8200,328.8300,328.6700,328.8000,182,MSFT
2023-09-19 17:00:00,328.8300,328.8300,328.6500,328.8290,145,MSFT
2023-09-19 16:55:00,328.6700,328.8400,328.5500,328.8400,853,MSFT
2023-09-19 16:50:00,328.7800,328.8400,328.6700,328.7100,4219,MSFT
2023-09-19 16:45:00,328.7500,328.7900,328.7500,328.7510,383,MSFT
2023-09-19 16:40:00,328.7000,328.7900,328.7000,328.7700,1680,MSFT
2023-09-19 16:35:00,328.7100,328.8500,328.6700,328.6700,242,MSFT
2023-09-19 16:30:00,328.7000,328.8500,328.6500,328.8500,4440,MSFT
2023-09-19 16:25:00,328.5600,328.7200,328.5600,328.7000,1110,MSFT
2023-09-19 16:20:00,328.6400,328.6400,328.5600,328.5600,242,MSFT
2023-09-19 16:15:00,328.6500,328.6500,328.5600,328.6400,539,MSFT
2023-09-19 16:10:00,328.6500,328.6500,328.5500,328.5500,1162,MSFT
2023-09-19 16:05:00,328.5900,329.0600,328.5100,328.6100,18090,MSFT
2023-09-19 16:00:00,328.6300,328.6500,328.4600,328.6500,5432468,MSFT
2023-09-19 15:55:00,328.9600,328.9950,328.4100,328.6300,764646,MSFT
2023-09-19 15:50:00,328.8800,329.3900,328.7200,328.9400,370961,MSFT
2023-09-19 15:45:00,328.7800,329.0780,328.7800,328.9000,197417,MSFT
2023-09-19 15:40:00,328.4000,328.8500,328.3800,328.7920,139470,MSFT
2023-09-19 15:35:00,328.2700,328.5600,328.2100,328.3950,133083,MSFT
2023-09-19 15:30:00,328.2200,328.3400,328.0900,328.2600,110680,MSFT
2023-09-19 15:25:00,328.1800,328.4200,328.1500,328.2500,114375,MSFT
2023-09-19 15:20:00,327.9800,328.2500,327.8570,328.1700,81375,MSFT
2023-09-19 15:15:00,328.0000,328.1010,327.7700,328.0000,84278,MSFT
2023-09-19 15:10:00,327.9000,328.0300,327.7800,328.0100,109175,MSFT
2023-09-19 15:05:00,327.8500,327.9700,327.7200,327.8850,73459,MSFT
2023-09-19 15:00:00,327.6700,327.9800,327.5500,327.8100,93059,MSFT
2023-09-19 14:55:00,328.2550,328.3100,327.6500,327.6500,81692,MSFT
2023-09-19 14:50:00,328.4700,328.5590,328.0800,328.2400,99258,MSFT
2023-09-19 14:45:00,328.7900,328.8200,328.4000,328.4950,140898,MSFT
2023-09-19 14:40:00,328.9200,329.0800,328.7500,328.7700,83952,MSFT
2023-09-19 14:35:00,328.3300,329.1900,328.3300,328.9300,221579,MSFT
2023-09-19 14:30:00,328.0400,328.3400,328.0000,328.3130,117065,MSFT
2023-09-19 14:25:00,328.1800,328.3100,328.0000,328.0300,92209,MSFT
2023-09-19 14:20:00,328.3500,328.5600,328.1590,328.1810,113422,MSFT
2023-09-19 14:15:00,328.1300,328.4400,327.9800,328.3300,124240,MSFT
2023-09-19 14:10:00,328.6100,328.6600,328.1500,328.1500,146120,MSFT
2023-09-19 14:05:00,328.4210,328.6700,328.3800,328.6000,129663,MSFT
2023-09-19 14:00:00,328.2500,328.5500,328.1900,328.4400,143806,MSFT
2023-09-19 13:55:00,328.1800,328.3700,328.0500,328.2300,105002,MSFT
2023-09-19 13:50:00,327.9800,328.2100,327.8900,328.1950,103942,MSFT
2023-09-19 13:45:00,327.3400,328.1100,327.3400,327.9500,168131,MSFT
2023-09-19 13:40:00,327.1500,327.3600,327.0400,327.3300,79051,MSFT
2023-09-19 13:35:00,327.0200,327.1900,326.8900,327.1200,92589,MSFT
2023-09-19 13:30:00,326.8000,327.2500,326.8000,327.0300,85397,MSFT
2023-09-19 13:25:00,327.0700,327.1040,326.7350,326.7950,76381,MSFT
2023-09-19 13:20:00,327.1600,327.3000,326.9690,327.0550,78597,MSFT
2023-09-19 13:15:00,326.8800,327.3600,326.8600,327.1170,133687,MSFT
2023-09-19 13:10:00,326.5420,326.9100,326.5390,326.8950,126979,MSFT
2023-09-19 13:05:00,326.4900,326.6400,326.4100,326.5600,89721,MSFT
2023-09-19 13:00:00,326.3400,326.5200,326.2800,326.4700,90371,MSFT
2023-09-19 12:55:00,326.1200,326.4700,326.0500,326.3400,95081,MSFT
2023-09-19 12:50:00,325.6800,326.1870,325.6770,326.1200,89362,MSFT
2023-09-19 12:45:00,325.8000,325.9600,325.5600,325.6700,101992,MSFT
2023-09-19 12:40:00,325.7100,326.2100,325.7000,325.7800,83608,MSFT
2023-09-19 12:35:00,326.0900,326.1860,325.7300,325.7350,95235,MSFT
2023-09-19 12:30:00,326.0200,326.2400,326.0200,326.1000,72147,MSFT
2023-09-19 12:25:00,326.2200,326.3400,326.0200,326.0500,102079,MSFT
2023-09-19 12:20:00,326.6000,326.6000,326.2000,326.2300,104036,MSFT
2023-09-19 12:15:00,326.6000,326.6780,326.4300,326.5970,139762,MSFT
2023-09-19 12:10:00,326.3000,326.6300,326.2000,326.5740,117134,MSFT
2023-09-19 12:05:00,326.2700,326.3650,325.9640,326.3100,85459,MSFT
2023-09-19 12:00:00,326.4500,326.4700,326.2000,326.2550,92267,MSFT
2023-09-19 11:55:00,326.0000,326.5800,325.9600,326.4500,116269,MSFT
2023-09-19 11:50:00,326.0100,326.1400,325.8300,326.0200,101137,MSFT
2023-09-19 11:45:00,325.9600,326.2400,325.7300,326.0300,113875,MSFT
2023-09-19 11:40:00,326.1200,326.2100,325.8800,325.9200,87774,MSFT
